PkgName,PkgVer,PythonVer,Time(pip),Time(HELP_solve),Time(HELP_install)
0x-order-utils,4.0.1,3.8.2,28.228 ,1.082 ,25.104 
ccxt-1-55-84,1.55.84,3.7.2,12.272 ,0.476 ,13.191 
Flask-Assistant,0.5.4,3.6.5,20.382 ,1.066 ,11.742 
pipenv-setup,3.2.0,3.10.4,11.330 ,1.042 ,10.332 
0x-contract-wrappers,2.0.0,3.7.2,27.219 ,1.322 ,25.973 
sample-factory,2.0.2,3.8.2,197.170 ,2.201 ,108.478 
allennlp-models,2.10.1,3.8.2,214.913 ,9.432 ,240.186 
androguard,3.3.5,3.10.4,27.979 ,0.629 ,30.827 
ccxt-1-55-84,1.55.84,3.8.2,11.483 ,0.481 ,14.641 
django-admin-interface,0.23.0,3.6.5,6.147 ,0.127 ,4.135 
opal-azure-cli-batchai,0.4.12,3.7.2,27.438 ,1.677 ,28.815 
raiden-contracts,0.50.2,3.8.2,34.279 ,1.600 ,44.341 
dlhub-sdk,1.1.1,3.9.2,17.808 ,0.905 ,15.350 
Ciphey,5.14.0,3.9.2,15.154 ,0.667 ,20.816 
raiden-contracts,0.50.2,3.10.4,31.131 ,1.084 ,64.201 
dlhub-sdk,1.1.1,3.10.4,18.050 ,1.053 ,15.944 
sqlfluff-templater-dbt,1.4.2,3.9.2,31.384 ,2.072 ,60.411 
gradio,3.12.0,3.10.4,46.852 ,1.663 ,43.240 
prospector,1.8.2,3.9.2,13.939 ,1.209 ,22.432 
spylunking,1.2.10,3.8.2,37.620 ,2.527 ,37.152 
check50,3.3.7,3.8.2,12.125 ,0.473 ,14.216 
autoviz,0.1.58,3.9.2,119.667 ,4.285 ,87.002 
Ciphey,5.14.0,3.7.2,17.437 ,0.557 ,19.963 
submit50,3.1.1,3.9.2,9.111 ,0.472 ,10.480 
textacy,0.12.0,3.8.2,35.119 ,1.673 ,44.327 
openmetadata-sqlalchemy-bigquery,1.2.0,3.6.5,25.785 ,1.110 ,22.363 
opentelemetry-exporter-otlp,1.14.0,3.7.2,10.990 ,0.525 ,10.962 
opentelemetry-exporter-zipkin,1.14.0,3.10.4,7.288 ,0.448 ,8.602 
snet.sdk,3.0.1,3.10.4,276.394 ,0.619 ,287.418 
snet.sdk,3.0.1,3.7.2,31.210 ,0.629 ,40.808 
aiida-core,2.1.2,3.9.2,48.155 ,2.767 ,55.827 
Ciphey,5.14.0,3.8.2,14.626 ,0.543 ,17.213 
mkdocs-material,8.5.11,3.9.2,14.393 ,1.021 ,17.281 
mkdocs-rokubun,5.5.12,3.8.2,12.753 ,0.694 ,11.422 
pyqt5-tools,5.15.4.3.2,3.7.2,15.702 ,0.071 ,11.490 
pipenv-setup,3.2.0,3.8.2,10.589 ,1.218 ,11.208 
etk,2.2.8,3.8.2,47.853 ,2.778 ,52.476 
pyqt5-tools,5.15.4.3.2,3.6.5,12.904 ,0.128 ,12.804 
tsam,2.2.2,3.8.2,28.633 ,1.553 ,32.032 
dlhub-sdk,1.1.1,3.8.2,19.850 ,0.999 ,17.503 
check50,3.3.7,3.6.5,14.076 ,0.499 ,18.685 
raiden-contracts,0.50.2,3.9.2,32.271 ,1.078 ,48.930 
mkdocs-rokubun,5.5.12,3.7.2,11.871 ,0.705 ,11.520 
pyqt5-tools,5.15.4.3.2,3.8.2,15.402 ,0.222 ,11.633 
