,name,Dependts,Latest_time,Deps,Vers,Oldest_time,lifetime,Month
224,androguard-en,0,2022/8/4,0,5,2022/2/21,1,5.466666667
225,android-asset-generator,0,2020/11/26,1,4,2020/11/19,1,0.233333333
226,anesthetic,4,2022/1/18,21,63,2019/3/28,4,34.23333333
227,angr,13,2022/7/5,30,189,2015/8/11,8,84
228,angrop,0,2022/9/19,2,89,2017/1/3,6,69.5
229,animdl,0,2023/1/15,15,138,2022/1/28,2,11.73333333
230,aniso8601,145,2021/2/18,6,36,2013/1/31,9,98
231,anndata,294,2020/1/9,33,72,2017/11/7,4,26.43333333
232,anndata2ri,4,2023/7/14,13,9,2019/9/19,5,46.46666667
233,annotated-types,4,2022/6/15,1,6,2022/5/2,1,1.466666667
234,annoy,76,2022/8/8,0,45,2014/3/24,9,101.9666667
235,ansi2html,64,2022/1/31,6,52,2010/9/15,13,138.5333333
236,ansible,237,2023/1/31,1,330,2013/2/12,11,121.3333333
237,ansible-base,11,2022/1/31,0,44,2020/2/20,3,23.7
238,ansible-core,36,2023/1/30,6,109,2020/10/27,4,27.5
239,ansible-lint,14,2022/6/9,69,215,2014/9/18,9,94.03333333
240,ansible-runner,38,2022/11/9,6,52,2018/4/27,5,55.23333333
241,ansible-tower-cli,1,2020/3/12,0,32,2014/7/17,7,68.83333333
242,ansible-vault,5,2021/2/6,0,12,2015/5/16,7,69.76666667
243,ansicolors,106,2017/6/2,0,7,2012/4/3,6,62.86666667
244,ansimarkup,18,2021/1/27,9,13,2017/2/11,5,48.2
245,ansys-mapdl-reader,6,2023/1/26,6,51,2021/1/12,3,24.8
246,antchain-alipay-util,288,2022/11/29,0,8,2020/6/30,3,29.4
247,anticaptchaofficial,5,2023/1/7,2,32,2020/3/9,4,34.46666667
248,anybadge,81,2022/8/24,1,40,2018/2/10,5,55.2
249,anyconfig,61,2022/4/3,6,25,2015/10/20,8,78.56666667
250,anyio,430,2022/5/13,19,46,2018/10/12,5,43.63333333
251,anyjson,64,2012/6/22,0,11,2009/6/20,4,36.6
252,anytree,228,2020/1/15,1,28,2016/9/2,5,41
253,apache-airflow,261,2023/7/10,1414,155,2017/5/9,7,75.1
254,apache-airflow-backport-providers-amazon,4,2021/3/7,13,15,2020/5/26,2,9.5
255,apache-airflow-backport-providers-apache-beam,1,2021/3/13,3,5,2021/2/4,1,1.233333333
256,apache-airflow-backport-providers-apache-druid,0,2021/3/13,3,12,2020/5/26,2,9.7
257,apache-airflow-backport-providers-apache-hdfs,0,2021/3/18,2,11,2020/5/26,2,9.866666667
258,apache-airflow-backport-providers-apache-livy,0,2021/3/18,2,11,2020/5/26,2,9.866666667
259,apache-airflow-backport-providers-apache-pig,0,2021/3/18,1,11,2020/5/26,2,9.866666667
260,apache-airflow-backport-providers-apache-pinot,0,2020/11/24,2,11,2020/5/26,1,6.066666667
261,apache-airflow-backport-providers-apache-spark,0,2021/3/7,2,11,2020/5/26,2,9.5
262,apache-airflow-backport-providers-apache-sqoop,0,2021/3/18,1,11,2020/5/26,2,9.866666667
263,apache-airflow-backport-providers-cloudant,0,2021/3/18,2,11,2020/5/26,2,9.866666667
264,apache-airflow-backport-providers-cncf-kubernetes,6,2021/3/7,3,9,2020/10/2,2,5.2
265,apache-airflow-backport-providers-datadog,0,2021/3/18,2,11,2020/5/26,2,9.866666667
266,apache-airflow-backport-providers-dingding,0,2021/3/7,2,11,2020/5/26,2,9.5
267,apache-airflow-backport-providers-discord,0,2021/3/18,2,11,2020/5/26,2,9.866666667
268,apache-airflow-backport-providers-ftp,1,2021/3/18,0,11,2020/5/26,2,9.866666667
269,apache-airflow-backport-providers-grpc,0,2021/3/18,4,11,2020/5/26,2,9.866666667
270,apache-airflow-backport-providers-http,9,2021/4/10,0,18,2020/5/26,2,10.63333333
271,apache-airflow-backport-providers-imap,1,2021/3/18,0,12,2020/5/26,2,9.866666667
272,apache-airflow-backport-providers-jenkins,0,2021/3/7,2,11,2020/5/26,2,9.5
273,apache-airflow-backport-providers-jira,0,2021/3/18,2,11,2020/5/26,2,9.866666667
274,apache-airflow-backport-providers-microsoft-winrm,0,2020/11/24,2,11,2020/5/26,1,6.066666667
275,apache-airflow-backport-providers-mongo,1,2021/3/18,3,11,2020/5/17,2,10.16666667
276,apache-airflow-backport-providers-neo4j,0,2021/3/7,2,4,2021/2/4,1,1.033333333
277,apache-airflow-backport-providers-odbc,1,2021/3/18,2,11,2020/5/26,2,9.866666667
278,apache-airflow-backport-providers-openfaas,0,2021/3/7,1,13,2020/5/26,2,9.5
279,apache-airflow-backport-providers-opsgenie,0,2021/3/18,2,11,2020/5/26,2,9.866666667
280,apache-airflow-backport-providers-oracle,2,2021/3/18,2,11,2020/5/26,2,9.866666667
281,apache-airflow-backport-providers-pagerduty,0,2021/3/18,2,11,2020/5/26,2,9.866666667
282,apache-airflow-backport-providers-papermill,0,2021/3/7,3,4,2021/2/4,1,1.033333333
283,apache-airflow-backport-providers-plexus,0,2021/3/18,2,6,2020/10/2,2,5.566666667
284,apache-airflow-backport-providers-postgres,2,2021/3/18,3,11,2020/5/26,2,9.866666667
285,apache-airflow-backport-providers-qubole,0,2021/3/7,2,11,2020/5/26,2,9.5
286,apache-airflow-backport-providers-salesforce,1,2021/3/18,4,11,2020/5/26,2,9.866666667
287,apache-airflow-backport-providers-samba,1,2021/3/18,2,11,2020/5/26,2,9.866666667
288,apache-airflow-backport-providers-sendgrid,0,2021/3/7,2,4,2021/2/4,1,1.033333333
289,apache-airflow-backport-providers-singularity,0,2021/3/18,2,11,2020/5/26,2,9.866666667
290,apache-airflow-backport-providers-slack,5,2021/3/7,3,13,2020/5/26,2,9.5
291,apache-airflow-backport-providers-snowflake,7,2021/3/13,4,16,2020/5/26,2,9.7
292,apache-airflow-backport-providers-ssh,3,2021/3/7,4,14,2020/5/17,2,9.8
293,apache-airflow-backport-providers-vertica,2,2021/3/18,2,11,2020/5/17,2,10.16666667
294,apache-airflow-backport-providers-yandex,0,2021/3/18,2,12,2020/5/26,2,9.866666667
295,apache-airflow-backport-providers-zendesk,0,2021/3/18,2,11,2020/5/26,2,9.866666667
296,apache-airflow-providers-airbyte,7,2022/11/18,3,29,2021/4/6,2,19.7
297,apache-airflow-providers-alibaba,4,2022/11/18,4,24,2021/8/30,2,14.83333333
298,apache-airflow-providers-amazon,32,2022/6/13,27,84,2020/12/9,3,18.36666667
299,apache-airflow-providers-apache-beam,5,2022/6/13,4,40,2021/2/4,2,16.46666667
300,apache-airflow-providers-apache-cassandra,5,2023/1/26,2,31,2020/12/9,4,25.93333333
301,apache-airflow-providers-apache-drill,4,2023/4/6,4,34,2021/7/15,3,21
302,apache-airflow-providers-apache-druid,4,2022/6/8,5,50,2020/12/9,3,18.2
303,apache-airflow-providers-apache-flink,2,2023/6/23,4,10,2023/1/2,1,5.733333333
304,apache-airflow-providers-apache-hdfs,4,2022/6/8,2,39,2020/11/9,3,19.2
305,apache-airflow-providers-apache-hive,8,2022/6/8,14,67,2020/12/9,3,18.2
306,apache-airflow-providers-apache-impala,2,2023/7/9,4,9,2023/1/14,1,5.866666667
307,apache-airflow-providers-apache-kafka,1,2023/7/9,3,10,2023/4/21,1,2.633333333
308,apache-airflow-providers-apache-kylin,4,2022/11/18,2,27,2020/12/9,3,23.63333333
309,apache-airflow-providers-apache-livy,5,2022/11/18,5,39,2020/12/9,3,23.63333333
310,apache-airflow-providers-apache-pig,4,2022/11/18,1,27,2020/12/9,3,23.63333333
311,apache-airflow-providers-apache-pinot,4,2022/11/29,4,38,2020/12/9,3,24
312,apache-airflow-providers-apache-spark,10,2023/4/6,2,40,2020/12/9,4,28.26666667
313,apache-airflow-providers-apache-sqoop,4,2023/2/21,1,35,2020/12/9,4,26.8
314,apache-airflow-providers-apprise,0,2023/7/9,2,3,2023/7/5,1,0.133333333
315,apache-airflow-providers-arangodb,2,2022/11/18,2,14,2022/4/7,1,7.5
316,apache-airflow-providers-asana,4,2022/11/29,2,25,2021/6/18,2,17.63333333
317,apache-airflow-providers-atlassian-jira,3,2023/1/5,2,14,2022/9/28,2,3.3
318,apache-airflow-providers-celery,11,2022/11/18,3,30,2020/12/9,3,23.63333333
319,apache-airflow-providers-cloudant,4,2022/11/18,2,27,2020/12/9,3,23.63333333
320,apache-airflow-providers-cncf-kubernetes,20,2023/1/17,5,79,2020/12/9,4,25.63333333
321,apache-airflow-providers-common-sql,30,2022/7/5,4,34,2022/7/5,1,0
322,apache-airflow-providers-databricks,11,2022/11/29,6,56,2020/12/9,3,24
323,apache-airflow-providers-datadog,7,2022/11/18,2,29,2020/12/9,3,23.63333333
324,apache-airflow-providers-dbt-cloud,6,2023/1/17,5,31,2022/3/7,2,10.53333333
325,apache-airflow-providers-dingding,4,2022/11/18,3,29,2020/12/9,3,23.63333333
326,apache-airflow-providers-discord,4,2022/11/18,3,29,2020/12/9,3,23.63333333
327,apache-airflow-providers-docker,12,2023/1/26,3,63,2020/12/9,4,25.93333333
328,apache-airflow-providers-elasticsearch,4,2023/1/17,6,61,2020/12/9,4,25.63333333
329,apache-airflow-providers-exasol,5,2023/1/17,5,47,2020/12/9,4,25.63333333
330,apache-airflow-providers-facebook,7,2022/11/18,2,35,2020/11/9,3,24.63333333
331,apache-airflow-providers-ftp,12,2023/1/5,1,38,2020/12/9,4,25.23333333
332,apache-airflow-providers-github,4,2022/11/18,2,23,2022/2/5,1,9.533333333
333,apache-airflow-providers-grpc,4,2022/11/18,4,29,2020/12/9,3,23.63333333
334,apache-airflow-providers-hashicorp,4,2022/6/13,3,48,2020/11/9,3,19.36666667
335,apache-airflow-providers-http,22,2023/1/17,5,44,2020/12/9,4,25.63333333
336,apache-airflow-providers-imap,10,2023/1/5,1,37,2020/12/9,4,25.23333333
337,apache-airflow-providers-influxdb,4,2022/11/18,3,20,2021/9/30,2,13.8
338,apache-airflow-providers-jdbc,4,2022/11/29,4,40,2020/12/9,3,24
339,apache-airflow-providers-jenkins,7,2023/1/17,2,42,2020/12/9,4,25.63333333
340,apache-airflow-providers-jira,7,2022/10/1,3,28,2020/12/9,3,22.03333333
341,apache-airflow-providers-microsoft-azure,11,2022/6/13,21,80,2020/12/9,3,18.36666667
342,apache-airflow-providers-microsoft-mssql,13,2023/1/5,4,46,2020/12/9,4,25.23333333
343,apache-airflow-providers-microsoft-psrp,4,2023/1/17,2,28,2021/8/30,3,16.83333333
344,apache-airflow-providers-microsoft-winrm,4,2023/1/5,2,37,2020/12/9,4,25.23333333
345,apache-airflow-providers-mongo,5,2023/1/17,3,33,2020/12/9,4,25.63333333
346,apache-airflow-providers-mysql,15,2022/6/13,9,56,2020/12/9,3,18.36666667
347,apache-airflow-providers-neo4j,4,2022/11/29,2,36,2021/2/4,2,22.1
348,apache-airflow-providers-odbc,5,2022/11/29,4,38,2020/11/9,3,25
349,apache-airflow-providers-openfaas,4,2022/11/18,1,27,2020/12/9,3,23.63333333
350,apache-airflow-providers-opsgenie,7,2022/11/18,2,33,2020/12/9,3,23.63333333
351,apache-airflow-providers-oracle,8,2022/6/22,5,51,2020/11/9,3,19.66666667
352,apache-airflow-providers-pagerduty,4,2022/11/18,2,29,2020/12/9,3,23.63333333
353,apache-airflow-providers-papermill,4,2022/6/13,3,34,2020/11/9,3,19.36666667
354,apache-airflow-providers-plexus,4,2022/11/18,2,27,2020/12/9,3,23.63333333
355,apache-airflow-providers-postgres,35,2022/6/13,5,55,2020/12/9,3,18.36666667
356,apache-airflow-providers-presto,7,2022/6/13,6,51,2020/12/9,3,18.36666667
357,apache-airflow-providers-qubole,4,2022/11/29,4,43,2020/11/9,3,25
358,apache-airflow-providers-redis,6,2022/11/18,2,27,2020/12/9,3,23.63333333
359,apache-airflow-providers-salesforce,9,2023/1/5,3,47,2020/12/9,4,25.23333333
360,apache-airflow-providers-samba,5,2022/11/18,2,29,2020/12/9,3,23.63333333
361,apache-airflow-providers-segment,4,2022/11/18,2,27,2020/12/9,3,23.63333333
362,apache-airflow-providers-sendgrid,4,2022/11/18,2,29,2020/12/9,3,23.63333333
363,apache-airflow-providers-sftp,14,2023/1/5,3,58,2020/12/9,4,25.23333333
